🇭🇰| 港澳特区,#genre#

翡翠台,http://60.208.16.27:1505/gudou.php?id=1350_4500
翡翠台,http://r.jdshipin.com/qrfbg
翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://qwas.eatuo.com:9901/tsfile/live/1013_1.m3u8
明珠台,http://60.208.16.27:1505/gudou.php?id=1351_4500
明珠台,http://xjayrf.eatuo.com:9901/tsfile/live/1005_1.m3u8
明珠台,http://r.jdshipin.com/ZQ4kN
凤凰资讯台,http://162.19.247.76:22222/live/fenghuangzhixun/index.m3u8
凤凰资讯台,http://qspyx.7766.org:9999/tsfile/live/1105_1.m3u8
凤凰资讯台,http://iptv.weai.love/10010/88888888/gxgg.play?tvid=fhzx
凤凰资讯台,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8
凤凰香港台,http://162.19.247.76:22222/live/fenghuangxianggang/index.m3u8
凤凰香港台,http://php.17186.eu.org/phtv/fhhk.m3u8
凤凰香港台,http://lcx-olt.8866.org:8181/tsfile/live/1071_1.m3u8
凤凰香港台,http://113.117.74.20:8081/hls/38/index.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
无线新闻台,https://tvp22.sky4k.top/index1.php
无线新闻台,http://live.cooltv.top/tv/tvb.php?id=0&hq
港台电视32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=8ee59707fee3ef96c922e680-167055218938751&wsIPSercert=d24f6d7c9d3646d9533d492d5209384b&wsMonitor=0
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视,https://zhibo.hkstv.tv/livestream/mutfysrq.flv
