港台频道,#genre#
HOY TV FHD,http://ali.hlspull.yximgs.com/live/RzsAF4xSSb7IifkLlgFxhhN5vuqhAVIl.flv
亚洲剧台 HD,http://ali.hlspull.yximgs.com/live/y9zHlsVuGZn3FDvzqJid0BlQdOTTY83q.flv
美亚电影台(粤语) HD,http://ali.hlspull.yximgs.com/live/9EvI2f8hU9jlW3DHNJNQPqUNOIraWZpp.flv
无线新闻台 FHD,http://ali.hlspull.yximgs.com/live/yxfn3hzwCYWbtg9AmT2DXY2BdUcExOIY.flv
明珠台 HD,http://ali.hlspull.yximgs.com/live/sbAfWS2Rn7YsS6TSzTfh9cLyRVckbyZl.flv
粤语片台 HD,http://ali.hlspull.yximgs.com/live/elXTsjnaReqOnZh0x1xFnlzlSRV3hZu4.flv
翡翠台 HD,http://ali.hlspull.yximgs.com/live/I3Z5GzSJ5D73xwgHoOgS6sFZkzRa79IM.flv
Now新闻台 HD,http://ali.hlspull.yximgs.com/live/kqp15mbh0mHFrQ1Z7xWVcSJX4alGyYJj.flv
民视第一台 HD,http://ali.hlspull.yximgs.com/live/GXLbO5bGFwp5fPaTVyDP3lTYJpge6q1e.flv
J2 FHD,http://ali.hlspull.yximgs.com/live/AiVknDjXS8pQTcx78Exu0Tmu9cH5qUAg.flv
HOY资讯台 FHD,http://ali.hlspull.yximgs.com/live/WXnxVPVtk8NAqFELq2YlhCOQzLLKafyM.flv
TVB星河国语 HD,http://ali.hlspull.yximgs.com/live/wGoYRK1OZfYaeqg0qdlkNZmg8i6jv5kN.flv
华语剧台 HD,http://ali.hlspull.yximgs.com/live/LrUf10Jlm94or41udNtzOWgSApsewGtn.flv
娱乐新闻台 HD,http://ali.hlspull.yximgs.com/live/qqFZ9FrCGr0QAhwJt6AIOyq0tcU1iAFi.flv
功夫台(粤语) HD,http://ali.hlspull.yximgs.com/live/xhlBpduGwV7cnni6c7noSLGvJngCNMRT.flv
无线财经体育资讯台 HD,http://ali.hlspull.yximgs.com/live/mojJT8VDF77ina2Ld1BCYt3j3gBX9UIN.flv
Hands UP HD,http://ali.hlspull.yximgs.com/live/6gQUtzWBa7hZU9MB6SQKgc9AH984P4BP.flv
Now直播台 HD,http://ali.hlspull.yximgs.com/live/a0yoxu0URi58mm0dDX72wc5nYzX6n9jl.flv
Now财经台 HD,http://ali.hlspull.yximgs.com/live/Vqm2N9o4ewDWIf960xrx2HioFBTXwP4i.flv
黄金华剧台 HD,http://ali.hlspull.yximgs.com/live/LHZmMkSkw31VLNNX195jLZ75aR0kyXjJ.flv
SUPER FREE HD,http://ali.hlspull.yximgs.com/live/cc1jT3boZilrm0wFaUeq0PiBkzSNRUkc.flv
RTHK 32 HD,http://ali.hlspull.yximgs.com/live/Mux94ww6OxFnraTG0XLseekQBE8yQFUG.flv
中视 HD,http://ali.hlspull.yximgs.com/live/6Q11lYEcvtJm8HZ2cFW2dAljYWAkrG6o.flv
ViuTV FHD,http://ali.hlspull.yximgs.com/live/m4LF7wzKbvJrbo3xPsHcJFKA05FS0ef9.flv
民视台湾台 FHD,http://ali.hlspull.yximgs.com/live/LO5elZM2CNkkcWgx6V1ijaDjpumUGnyr.flv
ViuTV Six HD,http://ali.hlspull.yximgs.com/live/0COedH7Xa5LVFchVLPbnzDXsJdnQRPat.flv
Now Sports 英超 1 HD,http://ali.hlspull.yximgs.com/live/xHhzgUZ8GxoZJgxpqBDh1d8YrLq16w8h.flv
民视 FHD,http://ali.hlspull.yximgs.com/live/NW06doto21Z4KT3rORVmfakYT3NiDPj9.flv
