港台频道,#genre#
HOY TV FHD,http://ali.hlspull.yximgs.com/live/9G57xpRWIPGT6zHDx9hxTkKhs9hMgyXG.flv
中天娱乐 FHD,http://ali.hlspull.yximgs.com/live/nAzEwfAKYM453a4qn9jEHOyRG4hxd1yD.flv
明珠台 HD,http://ali.hlspull.yximgs.com/live/xs4oFadCoiLi3W2ahFNqzyN0zacieV6Q.flv
亚洲剧台 HD,http://ali.hlspull.yximgs.com/live/3wgJ4hkxHnIGcCtYgji1qfQxXV1Wjy17.flv
J2 FHD,http://ali.hlspull.yximgs.com/live/zryS7IEWxYtQHWQgrQjnKLz906i5nI8n.flv
华语剧台 HD,http://ali.hlspull.yximgs.com/live/eKvcRWhZ68iNh9V8xZticWCCdiX5ZlUK.flv
Now财经台 HD,http://ali.hlspull.yximgs.com/live/CpSr1I8B1uM6eCRECdm1SSkjqF7sqkII.flv
翡翠台 HD,http://ali.hlspull.yximgs.com/live/gdz9HUZHjrqhZGTSql2rus8WmsU9pxAk.flv
TVB星河国语 HD,http://ali.hlspull.yximgs.com/live/5h5II7CSeMFYQJYVtPredVg2HWi2nc0e.flv
ViuTV Six HD,http://ali.hlspull.yximgs.com/live/QDN8VKvCgCpLVhzxjruvB66YFcbXIBht.flv
粤语片台 HD,http://ali.hlspull.yximgs.com/live/doAlNZYoVerlXMRUSCKQXEI6qtYtCKl1.flv
香港国际财经台 FHD,http://ali.hlspull.yximgs.com/live/94pOdeuOnk8TrNSP3vx1Eu3RUi0Imhp9.flv
三立都会台 FHD,http://ali.hlspull.yximgs.com/live/NrRJKGOfUFoFxx8MIKeR0P9iy4P2qwpG.flv
千禧经典台 HD,http://ali.hlspull.yximgs.com/live/dE4nqhPf3s6tYY5rYEUDRVtibz4YAE42.flv
无线财经体育资讯台 HD,http://ali.hlspull.yximgs.com/live/V1avo856B697zXZVAGcVKXie3aYm3H8C.flv
RTHK 32 HD,http://ali.hlspull.yximgs.com/live/SplI9gHSdxigk3eYzAhiRfJAUXv5cCXe.flv
黄金华剧台 HD,http://ali.hlspull.yximgs.com/live/Y2v47iAO0OldqqEEEO7C2Olp7fehsVk1.flv
娱乐新闻台 HD,http://ali.hlspull.yximgs.com/live/fNsficwBtGLdwVRlGANdhUEY88vlw6QL.flv
功夫台(粤语) HD,http://ali.hlspull.yximgs.com/live/An8QrwfbBrRUuXHEzAeUSpDdVo4p0X03.flv
TVBS欢乐台 FHD,http://ali.hlspull.yximgs.com/live/gCqaa16OLxydP2mb9wBzSJTv8NZ1DVTg.flv
ViuTV FHD,http://ali.hlspull.yximgs.com/live/5pRUoGcFyJRmsIXRZNZNMjh7gPYp5P2C.flv
Now新闻台 HD,http://ali.hlspull.yximgs.com/live/dQSBWwUyiBFIUgbdnoPMCAgTT1Fp9Udu.flv
美亚电影台(粤语) HD,http://ali.hlspull.yximgs.com/live/yHtaXgdpWCu1VJjr4SOnLkFPJ1inkXCw.flv
Now Sports 英超 1 HD,http://ali.hlspull.yximgs.com/live/7ERaHITN6rVLaVj39AWDFXsNNI4Pkeor.flv
无线新闻台 FHD,http://ali.hlspull.yximgs.com/live/R9O74W1wSezV8HAGfX1iRxDq3nxKlygX.flv
HOY资讯台 FHD,http://ali.hlspull.yximgs.com/live/W9m8X9oNpo3AmpppVkhxN3eNNbH8Gt4a.flv
澳门莲花 FHD,http://ali.hlspull.yximgs.com/live/4moSXrX3baoWGVuFPIEoHRfLPZq9x5A5.flv
有线18台 FHD,http://ali.hlspull.yximgs.com/live/oPmP3KnX1EBEl1TsmB0XgJiXlILroGPR.flv
三立综合台 HD,http://ali.hlspull.yximgs.com/live/AaaxDsvQsw2X9WPrdsxte2yxbQsyNxux.flv
Hands UP HD,http://ali.hlspull.yximgs.com/live/9OwRHuVALhMaI9HfDjQaM1Ubt5mlueMY.flv
RTHK 31 HD,http://ali.hlspull.yximgs.com/live/VxK5vbTeDhr0S1xShwanheUfSxqt94JX.flv
华视 FHD,http://ali.hlspull.yximgs.com/live/x5MasbU30JPkaofBhREeoLBEG0jEQJaM.flv
中视 HD,http://ali.hlspull.yximgs.com/live/T00OpDZw57kSNHx71XtRf4nCvVOOZfMI.flv
中天综合 HD,http://ali.hlspull.yximgs.com/live/hETJ5LlqCB0D5Pjnj7WYXGVQ3DxNbFlM.flv
中天亚洲台 FHD,http://ali.hlspull.yximgs.com/live/8Zy4qBPcmkKtYa55c0rNPKwzHWzI2Wch.flv
三立台湾台 FHD,http://ali.hlspull.yximgs.com/live/WcAPDrTZlGrv5H4rjFsd7sKxKiaXyj20.flv
民视台湾台 FHD,http://ali.hlspull.yximgs.com/live/XxeSWuVdPIaw7T76yQhv4CQ7Gv9SQRkN.flv
八大戏剧台 FHD,http://ali.hlspull.yximgs.com/live/4JZBMcffo9Pdw1n9f6H4U3IBT2ES1UNc.flv
民视 FHD,http://ali.hlspull.yximgs.com/live/9FE0AEy6LzYVdZeVcIIx47OVQ9eyehkX.flv
东森超视 FHD,http://ali.hlspull.yximgs.com/live/zBoKQVDwBiIDWgdZ1D0dgwLPzng6Vwpd.flv
公视 HD,http://ali.hlspull.yximgs.com/live/IFSgv3neRNaVJT0CcqTHw3Cfe1BdoWQK.flv
八大第一台 FHD,http://ali.hlspull.yximgs.com/live/5w6CM6MrXtboeqjXCZ9jbW2bGccfXPsV.flv
Now直播台 HD,http://ali.hlspull.yximgs.com/live/0nUp0LUMnCtYCp5GQWuknMYmGc7C6kKF.flv
八大综合台,http://ali.hlspull.yximgs.com/live/Gr01yug0AN5ahnfkZUAHQGxbZlesQ6CL.flv
八大精彩台 FHD,http://ali.hlspull.yximgs.com/live/lPlWvbsmVNpcBfQkLO2IlKB9SpPrce7y.flv
东森综合 FHD,http://ali.hlspull.yximgs.com/live/SbdzoqT0OmyrTAAt3BZ7innPkSlUTD5v.flv
民视第一台 HD,http://ali.hlspull.yximgs.com/live/ntsCci0DFVTfka6amLzbNxMxVJFpwCo3.flv
